source_zip,package,filename,kind,size_bytes
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnap250,dsnap250.bpl_bak,backup,410480
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnap280,dsnap280.bpl,active,417696
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnap280,dsnap280.bpl_bak,backup,417696
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnap290,dsnap290.bpl,active,423912
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnap290,dsnap290.bpl_bak,backup,423912
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnap70,dsnap70.bpl,active,209408
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnapcon200,dsnapcon200.bpl,active,135544
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnapcon250,dsnapcon250.bpl,active,136560
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnapcon250,dsnapcon250.bpl_bak,backup,136560
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnapcon280,dsnapcon280.bpl,active,137632
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnapcon280,dsnapcon280.bpl_bak,backup,137632
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnapcon290,dsnapcon290.bpl,active,139240
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnapcon290,dsnapcon290.bpl_bak,backup,139240
Client_REFERENCE_source-only_20260625_1447(4).zip,dsnapcon70,dsnapcon70.bpl,active,101888
Client_REFERENCE_source-only_20260625_1447(4).zip,dxBarExtItemsRS25,dxBarExtItemsRS25.bpl,active,241664
Client_REFERENCE_source-only_20260625_1447(4).zip,dxBarExtItemsRS25,dxBarExtItemsRS25.bpl_bak,backup,241664
Client_REFERENCE_source-only_20260625_1447(4).zip,dxBarRS25,dxBarRS25.bpl,active,1806848
Client_REFERENCE_source-only_20260625_1447(4).zip,dxBarRS25,dxBarRS25.bpl_bak,backup,1806848
Client_REFERENCE_source-only_20260625_1447(4).zip,dxComnRS25,dxComnRS25.bpl,active,56832
Client_REFERENCE_source-only_20260625_1447(4).zip,dxComnRS25,dxComnRS25.bpl_bak,backup,56832
Client_REFERENCE_source-only_20260625_1447(4).zip,dxCoreRS25,dxCoreRS25.bpl,active,1500160
Client_REFERENCE_source-only_20260625_1447(4).zip,dxCoreRS25,dxCoreRS25.bpl_bak,backup,1500160
Client_REFERENCE_source-only_20260625_1447(4).zip,dxGDIPlusRS25,dxGDIPlusRS25.bpl,active,339456
Client_REFERENCE_source-only_20260625_1447(4).zip,dxGDIPlusRS25,dxGDIPlusRS25.bpl_bak,backup,339456
Client_REFERENCE_source-only_20260625_1447(4).zip,dxLayoutControlRS25,dxLayoutControlRS25.bpl,active,985600
Client_REFERENCE_source-only_20260625_1447(4).zip,dxLayoutControlRS25,dxLayoutControlRS25.bpl_bak,backup,985600
Client_REFERENCE_source-only_20260625_1447(4).zip,dxOfficeCoreRS25,dxOfficeCoreRS25.bpl,active,762880
Client_REFERENCE_source-only_20260625_1447(4).zip,dxOfficeCoreRS25,dxOfficeCoreRS25.bpl_bak,backup,762880
Client_REFERENCE_source-only_20260625_1447(4).zip,dxRibbonRS25,dxRibbonRS25.bpl,active,2514432
Client_REFERENCE_source-only_20260625_1447(4).zip,dxRibbonRS25,dxRibbonRS25.bpl_bak,backup,2514432
Client_REFERENCE_source-only_20260625_1447(4).zip,dxSkinsCoreRS25,dxSkinsCoreRS25.bpl,active,768512
Client_REFERENCE_source-only_20260625_1447(4).zip,dxSkinsCoreRS25,dxSkinsCoreRS25.bpl_bak,backup,768512
Client_REFERENCE_source-only_20260625_1447(4).zip,dxSpreadSheetCoreDialogsRS25,dxSpreadSheetCoreDialogsRS25.bpl,active,370688
Client_REFERENCE_source-only_20260625_1447(4).zip,dxSpreadSheetCoreDialogsRS25,dxSpreadSheetCoreDialogsRS25.bpl_bak,backup,370688
Client_REFERENCE_source-only_20260625_1447(4).zip,dxSpreadSheetCoreRS25,dxSpreadSheetCoreRS25.bpl,active,2003456
Client_REFERENCE_source-only_20260625_1447(4).zip,dxSpreadSheetCoreRS25,dxSpreadSheetCoreRS25.bpl_bak,backup,2003456
Client_REFERENCE_source-only_20260625_1447(4).zip,dxSpreadSheetRS25,dxSpreadSheetRS25.bpl,active,5949952
Client_REFERENCE_source-only_20260625_1447(4).zip,dxSpreadSheetRS25,dxSpreadSheetRS25.bpl_bak,backup,5949952
Client_REFERENCE_source-only_20260625_1447(4).zip,dxThemeRS25,dxThemeRS25.bpl,active,45056
Client_REFERENCE_source-only_20260625_1447(4).zip,dxThemeRS25,dxThemeRS25.bpl_bak,backup,45056
Client_REFERENCE_source-only_20260625_1447(4).zip,dxTileControlRS25,dxTileControlRS25.bpl,active,587776
Client_REFERENCE_source-only_20260625_1447(4).zip,dxTileControlRS25,dxTileControlRS25.bpl_bak,backup,587776
Client_REFERENCE_source-only_20260625_1447(4).zip,elpackD7,elpackD7.BPL,active,577024
Client_REFERENCE_source-only_20260625_1447(4).zip,ESDBGrid60,ESDBGrid60.bpl,active,136192
Client_REFERENCE_source-only_20260625_1447(4).zip,FixedAssetPackage,FixedAssetPackage.bpl,active,249344
Client_REFERENCE_source-only_20260625_1447(4).zip,FixedAssetPackage,FixedAssetPackage.bpl_bak,backup,249344
Client_REFERENCE_source-only_20260625_1447(4).zip,FloatingWindow_XE6,FloatingWindow_XE6.bpl,active,47104
Client_REFERENCE_source-only_20260625_1447(4).zip,frControlsLibrary29,frControlsLibrary29.bpl,active,367104
Client_REFERENCE_source-only_20260625_1447(4).zip,frControlsLibrary29,frControlsLibrary29.bpl_bak,backup,367104
Client_REFERENCE_source-only_20260625_1447(4).zip,frCoreLibrary29,frCoreLibrary29.bpl,active,238080
Client_REFERENCE_source-only_20260625_1447(4).zip,frCoreLibrary29,frCoreLibrary29.bpl_bak,backup,238080
Client_REFERENCE_source-only_20260625_1447(4).zip,frDataLibrary29,frDataLibrary29.bpl,active,10240
Client_REFERENCE_source-only_20260625_1447(4).zip,frDataLibrary29,frDataLibrary29.bpl_bak,backup,10240
Client_REFERENCE_source-only_20260625_1447(4).zip,frGraphicsLibrary29,frGraphicsLibrary29.bpl,active,858624
Client_REFERENCE_source-only_20260625_1447(4).zip,frGraphicsLibrary29,frGraphicsLibrary29.bpl_bak,backup,858624
Client_REFERENCE_source-only_20260625_1447(4).zip,frLocalizationLibrary29,frLocalizationLibrary29.bpl,active,272896
Client_REFERENCE_source-only_20260625_1447(4).zip,frLocalizationLibrary29,frLocalizationLibrary29.bpl_bak,backup,272896
Client_REFERENCE_source-only_20260625_1447(4).zip,frx25,frx25.bpl,active,3638272
Client_REFERENCE_source-only_20260625_1447(4).zip,frx25,frx25.bpl_bak,backup,3638272
Client_REFERENCE_source-only_20260625_1447(4).zip,frx28,frx28.bpl,active,4326400
Client_REFERENCE_source-only_20260625_1447(4).zip,frx28,frx28.bpl_bak,backup,4326400
Client_REFERENCE_source-only_20260625_1447(4).zip,frx29,frx29.bpl,active,4075520
Client_REFERENCE_source-only_20260625_1447(4).zip,frx29,frx29.bpl_bak,backup,4075520
Client_REFERENCE_source-only_20260625_1447(4).zip,frxDB25,frxDB25.bpl,active,155136
Client_REFERENCE_source-only_20260625_1447(4).zip,frxDB25,frxDB25.bpl_bak,backup,155136
Client_REFERENCE_source-only_20260625_1447(4).zip,frxDB28,frxDB28.bpl,active,160768
Client_REFERENCE_source-only_20260625_1447(4).zip,frxDB28,frxDB28.bpl_bak,backup,160768
Client_REFERENCE_source-only_20260625_1447(4).zip,frxDB29,frxDB29.bpl,active,180736
Client_REFERENCE_source-only_20260625_1447(4).zip,frxDB29,frxDB29.bpl_bak,backup,180736
Client_REFERENCE_source-only_20260625_1447(4).zip,frxe25,frxe25.bpl,active,1416192
Client_REFERENCE_source-only_20260625_1447(4).zip,frxe25,frxe25.bpl_bak,backup,1416192
Client_REFERENCE_source-only_20260625_1447(4).zip,frxe28,frxe28.bpl,active,1599488
Client_REFERENCE_source-only_20260625_1447(4).zip,frxe28,frxe28.bpl_bak,backup,1599488
Client_REFERENCE_source-only_20260625_1447(4).zip,frxe29,frxe29.bpl,active,1590784
Client_REFERENCE_source-only_20260625_1447(4).zip,frxe29,frxe29.bpl_bak,backup,1590784
Client_REFERENCE_source-only_20260625_1447(4).zip,frxSM29,frxSM29.bpl,active,67584
Client_REFERENCE_source-only_20260625_1447(4).zip,frxSM29,frxSM29.bpl_bak,backup,67584
Client_REFERENCE_source-only_20260625_1447(4).zip,fs25,fs25.bpl,active,492032
Client_REFERENCE_source-only_20260625_1447(4).zip,fs25,fs25.bpl_bak,backup,492032
Client_REFERENCE_source-only_20260625_1447(4).zip,fs28,fs28.bpl,active,495616
Client_REFERENCE_source-only_20260625_1447(4).zip,fs28,fs28.bpl_bak,backup,495616
Client_REFERENCE_source-only_20260625_1447(4).zip,fs29,fs29.bpl,active,466432
Client_REFERENCE_source-only_20260625_1447(4).zip,fs29,fs29.bpl_bak,backup,466432
Client_REFERENCE_source-only_20260625_1447(4).zip,fsDB25,fsDB25.bpl,active,62464
Client_REFERENCE_source-only_20260625_1447(4).zip,fsDB25,fsDB25.bpl_bak,backup,62464
Client_REFERENCE_source-only_20260625_1447(4).zip,fsDB28,fsDB28.bpl,active,64000
Client_REFERENCE_source-only_20260625_1447(4).zip,fsDB28,fsDB28.bpl_bak,backup,64000
Client_REFERENCE_source-only_20260625_1447(4).zip,fsDB29,fsDB29.bpl,active,65024
Client_REFERENCE_source-only_20260625_1447(4).zip,fsDB29,fsDB29.bpl_bak,backup,65024
Client_REFERENCE_source-only_20260625_1447(4).zip,GridPackd7,GridPackd7.bpl,active,770560
Client_REFERENCE_source-only_20260625_1447(4).zip,indy70,indy70.bpl,active,1013248
Client_REFERENCE_source-only_20260625_1447(4).zip,IndyCore200,IndyCore200.bpl,active,404480
Client_REFERENCE_source-only_20260625_1447(4).zip,IndyCore250,IndyCore250.bpl,active,408064
Client_REFERENCE_source-only_20260625_1447(4).zip,IndyCore250,IndyCore250.bpl_bak,backup,408064
Client_REFERENCE_source-only_20260625_1447(4).zip,IndyCore280,IndyCore280.bpl,active,409600
